profession,es_type,N,N_stu,lower,effect,upper,p,I2,model_type,label,metagen_obj
Music,OR,14,11,1.1312615285944192,1.3219601588970564,1.5448051732851544,4.4529127181997604e-4,".00 [.00, .55]",random,GLMM,
Art,OR,8,8,1.0375991588065243,1.3484624545954058,1.752459970712568,0.025350614920307893,".44 [.00, .75]",random,GLMM,
Architecture,OR,9,8,0.9543640934270643,1.264559862196125,1.6755781740857079,0.10211909433793989,".30 [.00, .67]",random,GLMM,
Music,OR,14,11,1.1294784716479276,1.3383933918320754,1.585950433111165,7.6244781457655e-4,".18 [.00, .56]",random,Inverse,
Art,OR,8,8,0.9173305276310547,1.3802804159140472,2.0768675729955706,0.1220958698748141,".50 [.00, .78]",random,Inverse,
Architecture,OR,9,8,0.7480285385878512,1.1520865930713236,1.7744022446528702,0.520559464965204,".38 [.00, .71]",random,Inverse,
Music,OR,14,11,1.1294784716479276,1.3383933918320754,1.585950433111165,7.6244781457655e-4,".18 [.00, .56]",random,MH,
Art,OR,8,8,0.9173305276310547,1.3802804159140472,2.0768675729955706,0.1220958698748141,".50 [.00, .78]",random,MH,
Architecture,OR,9,8,0.7480285385878512,1.1520865930713236,1.7744022446528702,0.520559464965204,".38 [.00, .71]",random,MH,
Music,OR,14,11,1.028436389387944,1.2807993748900304,1.595088481549137,0.027077514130668112,".44 [.00, .70]",random,Peto,
Art,OR,8,8,0.8248649216043433,1.3467828482334208,2.1989346289182463,0.23395401032247803,".60 [.14, .82]",random,Peto,
Architecture,OR,9,8,0.6070160295442663,1.003800377461441,1.6599482530110876,0.9882073074828152,".55 [.06, .79]",random,Peto,
Music,OR,14,11,1.1325272345920026,1.3514686344341673,1.61273602441653,8.375655856932649e-4,".18 [.00, .56]",random,SSW,
Art,OR,8,8,0.8746650356621998,1.350667144457624,2.0857147144748414,0.175126268466552,".50 [.00, .78]",random,SSW,
Architecture,OR,9,8,0.7840493143627522,1.2253270526838629,1.9149642229573642,0.37238111454420963,".38 [.00, .71]",random,SSW,
