profession,es_type,N,N_stu,lower,effect,upper,p,I2,model_type,label,metagen_obj
Music,OR,14,11,1.1312615285944192,1.3219601588970564,1.5448051732851544,4.45291271819976e-4,".00 [.00, .55]",random,GLMM,NA
Art,OR,8,8,1.0375991588065243,1.3484624545954058,1.752459970712568,0.02535061492030789,".44 [.00, .75]",random,GLMM,NA
Architecture,OR,9,8,0.9543640934270644,1.264559862196125,1.675578174085708,0.10211909433793988,".30 [.00, .67]",random,GLMM,NA
Music,OR,14,11,1.1294784716479276,1.3383933918320754,1.585950433111165,7.6244781457655e-4,".18 [.00, .56]",random,Inverse,NA
Art,OR,8,8,0.9173305276310548,1.3802804159140472,2.0768675729955706,0.1220958698748141,".50 [.00, .78]",random,Inverse,NA
Architecture,OR,9,8,0.7480285385878512,1.1520865930713236,1.7744022446528702,0.520559464965204,".38 [.00, .71]",random,Inverse,NA
Music,OR,14,11,1.1294784716479276,1.3383933918320754,1.585950433111165,7.6244781457655e-4,".18 [.00, .56]",random,MH,NA
Art,OR,8,8,0.9173305276310548,1.3802804159140472,2.0768675729955706,0.1220958698748141,".50 [.00, .78]",random,MH,NA
Architecture,OR,9,8,0.7480285385878512,1.1520865930713236,1.7744022446528702,0.520559464965204,".38 [.00, .71]",random,MH,NA
Music,OR,14,11,1.028436389387944,1.2807993748900304,1.595088481549137,0.02707751413066811,".44 [.00, .70]",random,Peto,NA
Art,OR,8,8,0.8248649216043433,1.3467828482334208,2.1989346289182463,0.23395401032247803,".60 [.14, .82]",random,Peto,NA
Architecture,OR,9,8,0.6070160295442663,1.003800377461441,1.6599482530110876,0.9882073074828152,".55 [.06, .79]",random,Peto,NA
Music,OR,14,11,1.1325272345920026,1.351468634434167,1.61273602441653,8.375655856932649e-4,".18 [.00, .56]",random,SSW,NA
Art,OR,8,8,0.8746650356621998,1.350667144457624,2.085714714474842,0.175126268466552,".50 [.00, .78]",random,SSW,NA
Architecture,OR,9,8,0.7840493143627522,1.2253270526838629,1.914964222957364,0.3723811145442096,".38 [.00, .71]",random,SSW,NA
