task,es_type,measure,N,N_stu,lower,effect,upper,p,I2,model_type,label,metagen_obj
all,all,all,40,10,0.044793052620881894,0.056331738877753355,0.06787042513462482,1.0844427050131911e-21,".91 [.88, .93]",fixed,All studies,
all,all,all,40,10,-0.24943881619280606,-0.13316107565098928,-0.01688333510917249,0.02479719599828892,".91 [.88, .93]",random,All studies,
all,d,all,18,5,-0.27535945379601384,-0.18993928861107692,-0.10451912342613999,1.3116456884721733e-5,".65 [.43, .79]",fixed,All studies by ES type,
all,d_p,all,2,1,-1.2942032184415744,-1.1569379888268376,-1.0196727592121009,2.6546787726055045e-61,".96 [.87, .98]",fixed,All studies by ES type,
all,rho,all,17,3,-0.017343291063276013,0.030434330601354302,0.07821195226598462,0.2118493012571358,".00 [.00, .51]",fixed,All studies by ES type,
all,rho_p,all,3,1,0.06018603323880531,0.07223981119711553,0.08429358915542576,7.376926109375831e-32,".50 [.00, .86]",fixed,All studies by ES type,
all,d,all,18,5,-0.39632149905030634,-0.23534840841062185,-0.07437531777093737,0.004163021544958062,".65 [.43, .79]",random,All studies by ES type,
all,d_p,all,2,1,-1.8668923065061382,-1.2043602701307887,-0.5418282337554393,3.668492875365158e-4,".96 [.87, .98]",random,All studies by ES type,
all,rho,all,17,3,-0.017343291063276013,0.030434330601354302,0.07821195226598462,0.2118493012571358,".00 [.00, .51]",random,All studies by ES type,
all,rho_p,all,3,1,0.05500745078880702,0.07210312988924182,0.08919880898967662,1.3807722528817279e-16,".50 [.00, .86]",random,All studies by ES type,
all,all,Elaboration,5,5,-0.570561976566456,-0.4640056236300164,-0.35744927069357685,1.404305631622282e-17,".97 [.96, .98]",fixed,All studies by measure,
all,all,Flexibility,7,4,-0.11135741907604042,-0.02031978011445591,0.0707178588471286,0.6617721108677588,".33 [.00, .72]",fixed,All studies by measure,
all,all,Fluency,11,8,0.05143366094029765,0.07146857351137406,0.09150348608245047,2.717943994220514e-12,".39 [.00, .70]",fixed,All studies by measure,
all,all,Originality,10,7,0.045289163747987096,0.06530144372497493,0.08531372370196276,1.6002591693675651e-10,".93 [.90, .96]",fixed,All studies by measure,
all,all,Elaboration,5,5,-1.17559481883148,-0.5577979567374083,0.05999890535666341,0.07679094438914057,".97 [.96, .98]",random,All studies by measure,
all,all,Flexibility,7,4,-0.16129294064151478,-0.03807196956688173,0.08514900150775133,0.5447962010727938,".33 [.00, .72]",random,All studies by measure,
all,all,Fluency,11,8,-0.04775307899804302,0.02005288883495874,0.0878588566679605,0.5621585197795071,".39 [.00, .70]",random,All studies by measure,
all,all,Originality,10,7,-0.4258582028724981,-0.18496967835514702,0.05591884616220402,0.13232762185506303,".93 [.90, .96]",random,All studies by measure,
all,d,Elaboration,2,2,-0.9793436670857965,-0.6966888435445057,-0.41403402000321493,1.3589828943334617e-6,".00 [NA, NA]",fixed,"All studies by measure, ES type",
all,d_p,Elaboration,1,1,-1.7547262348079204,-1.544575762374344,-1.3344252899407674,4.781686241831911e-47,"NA [NA, NA]",fixed,"All studies by measure, ES type",
all,rho,Elaboration,2,2,-0.08402312420259395,0.053450578976469994,0.19092428215553392,0.44603287955512894,".00 [NA, NA]",fixed,"All studies by measure, ES type",
all,d,Flexibility,3,2,-0.63229613651569,-0.37460398500736475,-0.1169118334990395,0.004383261168358448,".00 [.00, .90]",fixed,"All studies by measure, ES type",
all,rho,Flexibility,4,2,-0.06710956250697546,0.030203045992732328,0.12751565449244012,0.5429774641077739,".00 [.00, .85]",fixed,"All studies by measure, ES type",
all,d,Fluency,6,5,-0.1668623892457511,-0.04191851353011442,0.08302536218552228,0.5108173967252463,".55 [.00, .82]",fixed,"All studies by measure, ES type",
all,rho,Fluency,4,2,-0.08907855862415996,0.008358142497173957,0.10579484361850787,0.8664840306215925,".00 [.00, .85]",fixed,"All studies by measure, ES type",
all,rho_p,Fluency,1,1,0.05670682210609573,0.07745966692414834,0.09821251174220094,2.56358426067989e-13,"NA [NA, NA]",fixed,"All studies by measure, ES type",
all,d,Originality,4,3,-0.5826675320690359,-0.3754274451609116,-0.16818735825278727,3.843708670374964e-4,".74 [.26, .91]",fixed,"All studies by measure, ES type",
all,d_p,Originality,1,1,-1.0497747742902486,-0.8684962373468951,-0.6872177004035416,5.995036325823283e-21,"NA [NA, NA]",fixed,"All studies by measure, ES type",
all,rho,Originality,4,2,-0.07233987634967357,0.025002634938731956,0.12234514622713746,0.6146683128782414,".00 [.00, .85]",fixed,"All studies by measure, ES type",
all,rho_p,Originality,1,1,0.06298330963274727,0.08366600265340755,0.10434869567406783,2.218414436753376e-15,"NA [NA, NA]",fixed,"All studies by measure, ES type",
all,d,Elaboration,2,2,-0.9793436670857965,-0.6966888435445057,-0.41403402000321493,1.3589828943334617e-6,".00 [NA, NA]",random,"All studies by measure, ES type",
all,d_p,Elaboration,1,1,-1.7547262348079204,-1.544575762374344,-1.3344252899407674,4.781686241831911e-47,"NA [NA, NA]",random,"All studies by measure, ES type",
all,rho,Elaboration,2,2,-0.08402312420259395,0.053450578976469994,0.19092428215553392,0.44603287955512894,".00 [NA, NA]",random,"All studies by measure, ES type",
all,d,Flexibility,3,2,-0.63229613651569,-0.37460398500736475,-0.1169118334990395,0.004383261168358448,".00 [.00, .90]",random,"All studies by measure, ES type",
all,rho,Flexibility,4,2,-0.06710956250697546,0.030203045992732328,0.12751565449244012,0.5429774641077739,".00 [.00, .85]",random,"All studies by measure, ES type",
